provider_name,provider_type,state,description,email,contact_number,address,website,payment_method,payment_details
Lady Bay Resort,BodyCorp,VIC,Order the Owners Corporation Certificate from Lady Bay Resort for a Victorian property.,,,,,,
Lake Macquarie City Council,LGA,NSW,Order the Outstanding Notices S.735A & 121ZP from Lake Macquarie City Council.,council@lakemac.nsw.gov.au,02 4921 0333,Lake Macquarie,https://www.lakemac.com.au,,
Lake mokoan estate owners corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Lake mokoan estate owners corporation for a Victorian property.,,,,,,
Lamar Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Lamar Pty Ltd for a Victorian property.,,,,,,
Land and Property Information City Council,LandInfo,NSW,NSW Land Registry Services (formerly Land and Property Information) — titles and property information.,customerservice@nswlrs.com.au,1300 396 601,Land and Property Information,https://www.nswlrs.com.au,,
Land Real OCM,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Land Real OCM for a Victorian property.,,,,,,
Landmark Body Corporate Services,BodyCorp,VIC,Order the Owners Corporation Certificate from Landmark Body Corporate Services for a Victorian property.,,,,,,
Landmarx Owners Corporation Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Landmarx Owners Corporation Management Pty Ltd for a Victorian property.,,,,,,
Lane Cove City Council,LGA,NSW,Order the Outstanding Notices S.735A & 121ZP from Lane Cove City Council.,lccouncil@lanecove.nsw.gov.au,02 9911 3555,Lane Cove,https://www.lanecove.nsw.gov.au,,
Lanyon's Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Lanyon's Real Estate for a Victorian property.,,,,,,
Lascorp Development Group (Aust) Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Lascorp Development Group (Aust) Pty Ltd for a Victorian property.,,,,,,
Latrobe City Council,LGA,VIC,Order the Council Land Information Certificate from Latrobe City Council for a property in Latrobe City.,info@latrobe.vic.gov.au,,Latrobe City,https://www.latrobe.vic.gov.au,,
Latvain Friendly Society Ltd.,BodyCorp,VIC,Order the Owners Corporation Certificate from Latvain Friendly Society Ltd.,,,,,,
Latvian Friendly Society,BodyCorp,VIC,Order the Owners Corporation Certificate from Latvian Friendly Society for a Victorian property.,,,,,,
Laura Street Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Laura Street Body Corporate for a Victorian property.,,,,,,
LBD Property Services Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from LBD Property Services Pty Ltd for a Victorian property.,,,,,,
LDB Property Services Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from LDB Property Services Pty Ltd for a Victorian property.,,,,,,
Leeton City Council,LGA,NSW,Order the Outstanding Notices S.121ZP from Leeton City Council.,info@leeton.nsw.gov.au,,Leeton,https://www.leeton.nsw.gov.au,,
Lend lease Prime Life,BodyCorp,VIC,Order the South Melbourne - Owners Corporation Certificate from Lend lease Prime Life for a Victorian property.,,,,,,
Lend Lease Realty Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Lend Lease Realty Pty Ltd for a Victorian property.,,,,,,
Leon Gleeson Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Leon Gleeson Real Estate for a Victorian property.,,,,,,
Lethlean Property Consultants,BodyCorp,VIC,Order the Owners Corporation Certificate from Lethlean Property Consultants for a Victorian property.,,,,,,
Lettieri Management Services Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Lettieri Management Services Pty Ltd for a Victorian property.,,,,,,
Linda Palmer,BodyCorp,VIC,Order the Owners Corporation Certificate from Linda Palmer for a Victorian property.,,,,,,
Lindon Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Lindon Owners Corporation for a Victorian property.,,,,,,
Lindsay Iles & Co.,BodyCorp,VIC,Order the Owners Corporation Certificate from Lindsay Iles & Co.,,,,,,
Lismore City Council,LGA,NSW,Order the Outstanding Notices S.735A from Lismore City Council.,council@lismore.nsw.gov.au,02 6625 0500,Lismore,https://www.lismore.nsw.gov.au,,
Lithgow City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Lithgow City Council.,info@lithgow.nsw.gov.au,,Lithgow City,https://www.lithgow.nsw.gov.au,,
Liveable Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Liveable Management Pty Ltd for a Victorian property.,,,,,,
Liverpool City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) & S.10.7(5) from Liverpool City Council.,lcc@liverpool.nsw.gov.au,1300 36 2170,Liverpool,https://www.liverpool.nsw.gov.au,,
Liverpool Plains City Council,LGA,NSW,Order the Outstanding Notices S.735A & 121ZP from Liverpool Plains City Council.,info@liverpoolplains.nsw.gov.au,,Liverpool Plains,https://www.liverpoolplains.nsw.gov.au,,
Livestock Health & Pest City Council,LGA,NSW,Order the Livestock Property Enquiry Certificate - Outstanding Rates from Livestock Health & Pest City Council.,info@livestockhealthandpest.nsw.gov.au,,Livestock Health & Pest,https://www.livestockhealthandpest.nsw.gov.au,,
Livingstone Shire Council,LGA,QLD,Order the Rates: Financial Rates Record search from Livingstone Shire Council.,info@livingstone.qld.gov.au,,Livingstone Shire,https://www.livingstone.qld.gov.au,,
LOC Strats Management Pty Ltd Trading as LOC Towers,BodyCorp,VIC,Order the Owners Corporation Certificate from LOC Strats Management Pty Ltd Trading as LOC Towers for a Victorian property.,,,,,,
Lockbulmer Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Lockbulmer Real Estate for a Victorian property.,,,,,,
Lockhart City Council,LGA,NSW,Order the Section 64 Noxious Weeds Certificate from Lockhart City Council.,info@lockhart.nsw.gov.au,,Lockhart,https://www.lockhart.nsw.gov.au,,
Lockyer Valley Regional Council,LGA,QLD,Order the Rates: Standard search from Lockyer Valley Regional Council.,info@lockyervalley.qld.gov.au,,Lockyer Valley Regional,https://www.lockyervalley.qld.gov.au,,
Loddon Shire Council,LGA,VIC,Order the Council Land Information Certificate from Loddon Shire Council for a property in Loddon Shire.,info@loddon.vic.gov.au,,Loddon Shire,https://www.loddon.vic.gov.au,,
Logan City Council,LGA,QLD,Order the Building and Plumbing Approvals report NON-RESIDENTIAL from Logan City Council.,council@logan.qld.gov.au,07 3412 3412,Logan City,https://www.logan.qld.gov.au,,
Lois Dennington,BodyCorp,VIC,Order the Owners Corporation Certificate from Lois Dennington for a Victorian property.,,,,,,
Longevity Group Australia Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Longevity Group Australia Ltd for a Victorian property.,,,,,,
Longreach Regional Council,LGA,QLD,Order the Rates: Full search from Longreach Regional Council.,info@longreach.qld.gov.au,,Longreach Regional,https://www.longreach.qld.gov.au,,
Longview Owners Corporation Pty Ltd,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Longview Owners Corporation Pty Ltd for a Victorian property.,,,,,,
Longview Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Longview Real Estate for a Victorian property.,,,,,,
Lotsearch - Environmental Risk NSW City Council,LGA,NSW,Order the Bushfire Risk Search from Lotsearch - Environmental Risk NSW City Council.,info@lotsearchenvironmentalrisknsw.nsw.gov.au,,Lotsearch - Environmental Risk NSW,https://www.lotsearchenvironmentalrisknsw.nsw.gov.au,,
Lotsearch - Environmental Risk Queensland,Other,QLD,Order the Bushfire Risk Search from Lotsearch - Environmental Risk Queensland.,,,,,,
Love Owners Corporation Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Love Owners Corporation Pty Ltd for a Victorian property.,,,,,,
Love Real Estate,BodyCorp,VIC,Order the Thornbury - Owners Corporation Certificate from Love Real Estate for a Victorian property.,,,,,,
Low Cost Strata Managers,BodyCorp,VIC,Order the Owners Corporation Certificate from Low Cost Strata Managers for a Victorian property.,,,,,,
Lower Murray Urban & Rural Water Authority (Rural),Utility,VIC,Lower Murray Water (rural) — irrigation and rural water services in north-west Victoria.,info@lmw.vic.gov.au,03 5051 3400,Lower Murray Rural,https://www.lmw.vic.gov.au,,
Lower Murray Urban & Rural Water Authority (Urban),Utility,VIC,Lower Murray Water (urban) — urban water and wastewater for Mildura and the Murray Valley.,info@lmw.vic.gov.au,03 5051 3400,Lower Murray Urban,https://www.lmw.vic.gov.au,,
Luckman Associates Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Luckman Associates Pty Ltd for a Victorian property.,,,,,,
Ludeman Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Ludeman Real Estate for a Victorian property.,,,,,,
M & J Apartment Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from M & J Apartment Management Pty Ltd for a Victorian property.,,,,,,
Macedon Ranges Shire Council,LGA,VIC,Order the Council Land Information Certificate from Macedon Ranges Shire Council for a property in Macedon Ranges Shire.,info@macedonranges.vic.gov.au,,Macedon Ranges Shire,https://www.macedonranges.vic.gov.au,,
Mackay Regional Council,LGA,QLD,Order the Rates: Certificate from Mackay Regional Council.,info@mackay.qld.gov.au,,Mackay Regional,https://www.mackay.qld.gov.au,,
Maitland City Council,LGA,NSW,Order the Outstanding Notices S.121ZP from Maitland City Council.,info@maitland.nsw.gov.au,02 4934 9700,Maitland,https://www.maitland.nsw.gov.au,,
Major Body Corporate Services,BodyCorp,VIC,Order the Owners Corporation Certificate from Major Body Corporate Services for a Victorian property.,,,,,,
Mal McGeorge,BodyCorp,VIC,Order the Owners Corporation Certificate from Mal McGeorge for a Victorian property.,,,,,,
Mal Ryan & Glen,BodyCorp,VIC,Order the Owners Corporation Certificate from Mal Ryan & Glen for a Victorian property.,,,,,,
Males Body Corporate Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Males Body Corporate Pty Ltd for a Victorian property.,,,,,,
Mallee Catchment Management Authority,State_government,VIC,Order the CMA Rural Floodplain Certificate from Mallee Catchment Management Authority for a Victorian property.,,,,,,
Management by Conroy Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Management by Conroy Pty Ltd for a Victorian property.,,,,,,
Manningham City Council,LGA,VIC,Order the Council Land Information Certificate - Standard Service from Manningham City Council for a property in Manningham City.,manningham@manningham.vic.gov.au,03 9840 9333,Manningham City,https://www.manningham.vic.gov.au,,
Manningham Owners Corporation Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Manningham Owners Corporation Pty Ltd for a Victorian property.,,,,,,
Mansfield Shire Council,LGA,VIC,Order the Council Land Information Certificate from Mansfield Shire Council for a property in Mansfield Shire.,info@mansfield.vic.gov.au,,Mansfield Shire,https://www.mansfield.vic.gov.au,,
Maranoa Close Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Maranoa Close Management Pty Ltd for a Victorian property.,,,,,,
Maranoa Regional Council,LGA,QLD,Order the Town plan: Limited certificate from Maranoa Regional Council.,info@maranoa.qld.gov.au,,Maranoa Regional,https://www.maranoa.qld.gov.au,,
Mareeba Shire Council,LGA,QLD,Order the Rates: General Rates search from Mareeba Shire Council.,info@mareeba.qld.gov.au,,Mareeba Shire,https://www.mareeba.qld.gov.au,,
Maribyrnong City Council,LGA,VIC,Order the Council Land Information Certificate - Standard Service from Maribyrnong City Council for a property in Maribyrnong City.,email@maribyrnong.vic.gov.au,03 9688 0200,Maribyrnong City,https://www.maribyrnong.vic.gov.au,,
Maroondah City Council,LGA,VIC,Order the Council Land Information Certificate - Standard Service from Maroondah City Council for a property in Maroondah City.,info@maroondah.vic.gov.au,,Maroondah City,https://www.maroondah.vic.gov.au,,
MARQ Strata Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from MARQ Strata Management Pty Ltd for a Victorian property.,,,,,,
Marston & Cook,BodyCorp,VIC,Order the Owners Corporation Certificate from Marston & Cook for a Victorian property.,,,,,,
Martha Cove Management Services,BodyCorp,VIC,Martha Cove Management Services is an owners corporation / body corporate manager in VIC providing strata records and certificates.,,,,,,
Martin and Martin,BodyCorp,VIC,Order the Owners Corporation Certificate from Martin and Martin for a Victorian property.,,,,,,
Martin Cairney,BodyCorp,VIC,Order the Owners Corporation Certificate from Martin Cairney for a Victorian property.,,,,,,
Marvelli Town & Associates Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Marvelli Town & Associates Pty Ltd for a Victorian property.,,,,,,
Mary Schoorman,BodyCorp,VIC,Mary Schoorman is an owners corporation / body corporate manager in VIC providing strata records and certificates.,,,,,,
Mason Property Services,BodyCorp,VIC,Order the Owners Corporation Certificate from Mason Property Services for a Victorian property.,,,,,,
Matthew Roberts,BodyCorp,VIC,Order the Owners Corporation Certificate from Matthew Roberts for a Victorian property.,,,,,,
Matthew Shaw & Associates / Seacliffs Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Matthew Shaw & Associates / Seacliffs Management Pty Ltd for a Victorian property.,,,,,,
Max Brown (Yarra Valley),BodyCorp,VIC,Order the Owners Corporation Certificate from Max Brown (Yarra Valley) for a Victorian property.,,,,,,
Maxa OC Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Maxa OC Management Pty Ltd for a Victorian property.,,,,,,
Mayfield Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Mayfield Body Corporate for a Victorian property.,,,,,,
Mayfield Body Corporate Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Mayfield Body Corporate Management for a Victorian property.,,,,,,
Mayhall Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Mayhall Pty Ltd for a Victorian property.,,,,,,
MBCM,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM for a Victorian property.,,,,,,
MBCM Brunswick,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM Brunswick for a Victorian property.,,,,,,
MBCM Cheltenham,BodyCorp,VIC,Order the Owners Corporation Certificate 6-10 Days from MBCM Cheltenham for a Victorian property.,,,,,,
MBCM Footscray,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM Footscray for a Victorian property.,,,,,,
MBCM Kew,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM Kew for a Victorian property.,,,,,,
MBCM plan number RP015891,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM plan number RP015891 for a Victorian property.,,,,,,
mbcm strata specialist,BodyCorp,VIC,Order the Additional Owners Corporation Certificate from mbcm strata specialist for a Victorian property.,,,,,,
MBCM Strata Specialist Bendigo,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM Strata Specialist Bendigo for a Victorian property.,,,,,,
MBCM STRATA Specialists,BodyCorp,VIC,Order the Kew Owners Corporation Certificate from MBCM STRATA Specialists for a Victorian property.,,,,,,
MBCM Strata Specialists Bendigo,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM Strata Specialists Bendigo for a Victorian property.,,,,,,
MBCM Strata Specialists Cheltenham,BodyCorp,VIC,Order the Additional Owners Corporation Certificate from MBCM Strata Specialists Cheltenham for a Victorian property.,,,,,,
MBCM Strata Specialists Richmond North,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM Strata Specialists Richmond North for a Victorian property.,,,,,,
MBCM STRATA SPECIALISTS ROSEBUD,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM STRATA SPECIALISTS ROSEBUD for a Victorian property.,,,,,,
MBCM Strata Specialists St Kilda,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM Strata Specialists St Kilda for a Victorian property.,,,,,,
MBCM Strata Specialists Waverley,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM Strata Specialists Waverley for a Victorian property.,,,,,,
MBCM Strata Specialists Western Districts,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from MBCM Strata Specialists Western Districts for a Victorian property.,,,,,,
MBCM Strata Specialists Williamstown,BodyCorp,VIC,Order the Owners Corporation Certificate from MBCM Strata Specialists Williamstown for a Victorian property.,,,,,,
McDonald Strata Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from McDonald Strata Pty Ltd for a Victorian property.,,,,,,
McDonough & Co.,BodyCorp,VIC,Order the Owners Corporation Certificate from McDonough & Co.,,,,,,
MCG Body Corporate Management,BodyCorp,VIC,Order the Owners Corporation Certificate from MCG Body Corporate Management for a Victorian property.,,,,,,
MCG Body Corporate Managers,BodyCorp,VIC,Order the Owners Corporation Certificate from MCG Body Corporate Managers for a Victorian property.,,,,,,
McGuiness Legal Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from McGuiness Legal Pty Ltd for a Victorian property.,,,,,,
McKenzie Partners,BodyCorp,VIC,Order the Owners Corporation Certificate from McKenzie Partners for a Victorian property.,,,,,,
"McKenzie,Taylor & Bloomfield p/l",BodyCorp,VIC,"Order the Owners Corporation Certificate from McKenzie,Taylor & Bloomfield p/l for a Victorian property.",,,,,,
McKie Property Management,BodyCorp,VIC,Order the Owners Corporation Certificate from McKie Property Management for a Victorian property.,,,,,,
McKinlay Shire Council,LGA,QLD,Order the Rates: Standard from McKinlay Shire Council.,info@mckinlay.qld.gov.au,,McKinlay Shire,https://www.mckinlay.qld.gov.au,,
McLAREN HUNT FINANCIAL GROUP,BodyCorp,VIC,Order the Owners Corporation Certificate from McLAREN HUNT FINANCIAL GROUP for a Victorian property.,,,,,,
McLaren Real Estate Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from McLaren Real Estate Pty Ltd for a Victorian property.,,,,,,
McLennan Real Estate Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from McLennan Real Estate Pty Ltd for a Victorian property.,,,,,,
McMillans,BodyCorp,VIC,Order the Owners Corporation Certificate from McMillans for a Victorian property.,,,,,,
McMullin Group,BodyCorp,VIC,Order the Owners Corporation Certificate from McMullin Group for a Victorian property.,,,,,,
McNally Property Management,BodyCorp,VIC,Order the Owners Corporation Certificate from McNally Property Management for a Victorian property.,,,,,,
MDK AUSTRALIA HOLDING PTY LTD,BodyCorp,VIC,Order the Owners Corporation Certificate from MDK AUSTRALIA HOLDING PTY LTD for a Victorian property.,,,,,,
MDM Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from MDM Owners Corporation for a Victorian property.,,,,,,
Meadows Property Group,BodyCorp,VIC,Order the Owners Corporation Certificate from Meadows Property Group for a Victorian property.,,,,,,
Medical & Aged Care Holdings Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Medical & Aged Care Holdings Pty Ltd for a Victorian property.,,,,,,
Melbourne Body Corporate Management,BodyCorp,VIC,Order the Brunswick - Owners Corporation Certificate from Melbourne Body Corporate Management for a Victorian property.,,,,,,
MELBOURNE BODY CORPORATE MANAGEMENT BOX HILL,BodyCorp,VIC,Order the Additional Owners Corporation Certificate from MELBOURNE BODY CORPORATE MANAGEMENT BOX HILL for a Victorian property.,,,,,,
Melbourne Body Corporate Management Mentone,BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne Body Corporate Management Mentone for a Victorian property.,,,,,,
Melbourne Body Corporate Management Prahran,BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne Body Corporate Management Prahran for a Victorian property.,,,,,,
Melbourne Body Corporate Management Richmond South,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Melbourne Body Corporate Management Richmond South for a Victorian property.,,,,,,
Melbourne body corporate management-Pascoe Vale,BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne body corporate management-Pascoe Vale for a Victorian property.,,,,,,
Melbourne Campus Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne Campus Management Pty Ltd for a Victorian property.,,,,,,
Melbourne City Council,LGA,VIC,Order the Council Land Information Certificate from Melbourne City Council for a property in Melbourne City.,enquiries@melbourne.vic.gov.au,03 9658 9658,Melbourne City,https://www.melbourne.vic.gov.au,,
Melbourne Commercial Group,BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne Commercial Group for a Victorian property.,,,,,,
Melbourne Commercial Office (MCO),BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne Commercial Office (MCO) for a Victorian property.,,,,,,
Melbourne Corporate Rentals,BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne Corporate Rentals for a Victorian property.,,,,,,
Melbourne Inner City Management (MICM),BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne Inner City Management (MICM) for a Victorian property.,,,,,,
Melbourne OCM,BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne OCM for a Victorian property.,,,,,,
Melbourne Owners Corporation Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne Owners Corporation Management for a Victorian property.,,,,,,
Melbourne Owners Corporation Services Pty Ltd,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Melbourne Owners Corporation Services Pty Ltd for a Victorian property.,,,,,,
Melbourne Property Managers,BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne Property Managers for a Victorian property.,,,,,,
Melbourne Strata Group Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Melbourne Strata Group Pty Ltd for a Victorian property.,,,,,,
Melbourne Water,Utility,VIC,"Melbourne Water — bulk water, sewerage and waterways manager for Greater Melbourne.",enquiry@melbournewater.com.au,131 722,Melbourne,https://www.melbournewater.com.au,,
Melcorp Property Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Melcorp Property Pty Ltd for a Victorian property.,,,,,,
Melcorp Strata Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Melcorp Strata Pty Ltd for a Victorian property.,,,,,,
Melissa and Justin Littlefield,BodyCorp,VIC,Order the Owners Corporation Certificate from Melissa and Justin Littlefield for a Victorian property.,,,,,,
Melton City Council,LGA,VIC,Order the Council Land Information Certificate from Melton City Council for a property in Melton City.,customer.service@melton.vic.gov.au,03 9747 7200,Melton City,https://www.melton.vic.gov.au,,
Melton Willows,BodyCorp,VIC,Order the Owners Corporation Certificate from Melton Willows for a Victorian property.,,,,,,
Mernda Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Mernda Body Corporate for a Victorian property.,,,,,,
Merri-bek City Council,LGA,VIC,Order the Land Information Certificate from Merri-bek City Council for a property in Merri-bek City.,info@merri-bek.vic.gov.au,03 9240 1111,Merri-bek City,https://www.merri-bek.vic.gov.au,,
Methven Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Methven Real Estate for a Victorian property.,,,,,,
Metro Body Corporate Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Metro Body Corporate Management for a Victorian property.,,,,,,
Metro Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Metro Owners Corporation for a Victorian property.,,,,,,
Metro Property Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Metro Property Management Pty Ltd for a Victorian property.,,,,,,
MGP & Co,BodyCorp,VIC,Order the Owners Corporation Certificate from MGP & Co for a Victorian property.,,,,,,
Mia Property,BodyCorp,VIC,Order the Owners Corporation Certificate from Mia Property for a Victorian property.,,,,,,
Michael Blake First National Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Michael Blake First National Real Estate for a Victorian property.,,,,,,
Michael Devola & Associates,BodyCorp,VIC,Order the Owners Corporation Certificate from Michael Devola & Associates for a Victorian property.,,,,,,
Michael Nardella Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Michael Nardella Real Estate for a Victorian property.,,,,,,
Michael Panich,BodyCorp,VIC,Order the Owners Corporation Certificate from Michael Panich for a Victorian property.,,,,,,
MICM Body Corporate Southbank,BodyCorp,VIC,Order the Owners Corporation Certificate from MICM Body Corporate Southbank for a Victorian property.,,,,,,
MICM Property,BodyCorp,VIC,Order the Additional Owners Corporation Certificate from MICM Property for a Victorian property.,,,,,,
Mid-Coast City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) & S.10.7(5) from Mid-Coast City Council.,council@midcoast.nsw.gov.au,02 7955 7777,Mid-Coast,https://www.midcoast.nsw.gov.au,,
Mid-Western Regional Council,LGA,NSW,Order the Outstanding Notices S.735A from Mid-Western Regional Council.,info@midwestern.nsw.gov.au,,Mid-Western Regional,https://www.midwestern.nsw.gov.au,,
Midcoast Water City Council,LGA,NSW,Order the Mid-Coast Water Special Water Meter Reading from Midcoast Water City Council.,info@midcoastwater.nsw.gov.au,,Midcoast Water,https://www.midcoastwater.nsw.gov.au,,
Mildura Body Corporate Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Mildura Body Corporate Management Pty Ltd for a Victorian property.,,,,,,
Mildura body corporation manager,BodyCorp,VIC,Order the Owners Corporation Certificate from Mildura body corporation manager for a Victorian property.,,,,,,
Mildura Owners & Business Solutions,BodyCorp,VIC,Order the Owners Corporation Certificate from Mildura Owners & Business Solutions for a Victorian property.,,,,,,
Mildura Rural City Council,LGA,VIC,Order the Council Land Information Certificate from Mildura Rural City Council for a property in Mildura Rural City.,info@mildurarural.vic.gov.au,,Mildura Rural City,https://www.mildurarural.vic.gov.au,,
Mildura Strata Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Mildura Strata Management for a Victorian property.,,,,,,
Miles Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Miles Estate for a Victorian property.,,,,,,
Mineral Resources City Council,LGA,NSW,Order the Mineral Resources from Mineral Resources City Council.,info@mineralresources.nsw.gov.au,,Mineral Resources,https://www.mineralresources.nsw.gov.au,,
Mitchell Shire Council,LGA,VIC,Order the Council Land Information Certificate from Mitchell Shire Council for a property in Mitchell Shire.,info@mitchell.vic.gov.au,,Mitchell Shire,https://www.mitchell.vic.gov.au,,
MJS Body Corporate Management,BodyCorp,VIC,Order the Owners Corporation Certificate from MJS Body Corporate Management for a Victorian property.,,,,,,
MJS Body Corporate Services,BodyCorp,VIC,Order the Owners Corporation Certificate from MJS Body Corporate Services for a Victorian property.,,,,,,
MK Owners Corporation Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from MK Owners Corporation Pty Ltd for a Victorian property.,,,,,,
MK Owners Corporation VIC Pty Ltd,BodyCorp,VIC,Order the OC Certificate from MK Owners Corporation VIC Pty Ltd for a Victorian property.,,,,,,
Mkatt Body Corporate Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Mkatt Body Corporate Management for a Victorian property.,,,,,,
Moira Shire Council,LGA,VIC,Order the Council Land Information Certificate from Moira Shire Council for a property in Moira Shire.,info@moira.vic.gov.au,,Moira Shire,https://www.moira.vic.gov.au,,
Monash City Council,LGA,VIC,Order the Council Land Information Certificate from Monash City Council for a property in Monash City.,mail@monash.vic.gov.au,03 9518 3555,Monash City,https://www.monash.vic.gov.au,,
Moonah Estate Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Moonah Estate Body Corporate for a Victorian property.,,,,,,
Moonee Valley City Council,LGA,VIC,Order the Council Land Information Certificate from Moonee Valley City Council for a property in Moonee Valley City.,council@mvcc.vic.gov.au,03 9243 8888,Moonee Valley City,https://www.mvcc.vic.gov.au,,
Moorabool Shire Council,LGA,VIC,Order the Council Land Information Certificate from Moorabool Shire Council for a property in Moorabool Shire.,info@moorabool.vic.gov.au,,Moorabool Shire,https://www.moorabool.vic.gov.au,,
Moores Legal Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Moores Legal Pty Ltd for a Victorian property.,,,,,,
Moree Plains City Council,LGA,NSW,Order the Outstanding Notices S.735A & 121ZP from Moree Plains City Council.,info@moreeplains.nsw.gov.au,,Moree Plains,https://www.moreeplains.nsw.gov.au,,
Moreton Bay Regional Council,LGA,QLD,Order the Flood search from Moreton Bay Regional Council.,mbrc@moretonbay.qld.gov.au,07 3205 0555,Moreton Bay Regional,https://www.moretonbay.qld.gov.au,,
Morley Strata Management Services,BodyCorp,VIC,Order the Owners Corporation Certificate from Morley Strata Management Services for a Victorian property.,,,,,,
