product_name,sku,state,type,display_on_ui,description,council,provider_name,provider_id,cost,retail_price,gst_option,gst_amount,fulfillment_method,status,required_data_buyer,required_data_seller
Melbourne Body Corporate Management - Moorabbin - Urgent within 3-5 days Owners Corporation Certificate,VICOCMOORABBINURG3TO5DOWNERSCORPV122,VIC,BodyCorp,true,"Order the Moorabbin - Urgent within 3-5 days Owners Corporation Certificate from Melbourne Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 day timeframe.",ALL,Melbourne Body Corporate Management,1787701f-b100-47f9-8f1f-b0591b26690b,,,normal_gst_10,,Manual,active,,
Melbourne Body Corporate Management - Moorabbin - Urgent within 2 days Owners Corporation Certificate,VICOCMOORABBINURG2DOWNERSCORPV122,VIC,BodyCorp,true,"Order the Moorabbin - Urgent within 2 days Owners Corporation Certificate from Melbourne Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 day timeframe.",ALL,Melbourne Body Corporate Management,1787701f-b100-47f9-8f1f-b0591b26690b,,,normal_gst_10,,Manual,active,,
Melbourne Body Corporate Management - Black Rock - Urgent within 2 days Owners Corporation Certificate,VICOCBLACKROCKURG2DOWNERSCORPV122,VIC,BodyCorp,true,"Order the Black Rock - Urgent within 2 days Owners Corporation Certificate from Melbourne Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 day timeframe.",ALL,Melbourne Body Corporate Management,1787701f-b100-47f9-8f1f-b0591b26690b,,,normal_gst_10,,Manual,active,,
Ian MacFarlane & Co. Pty Ltd - Urgent within 3-5 days Owners Corporation Certificate,VICOCURG3TO5DOWNERSCORPV146,VIC,BodyCorp,true,"Order the Urgent within 3-5 days Owners Corporation Certificate from Ian MacFarlane & Co. Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 day timeframe.",ALL,Ian MacFarlane & Co. Pty Ltd,915289ee-f88f-4485-a712-893b0f23cadb,,,normal_gst_10,,Manual,active,,
Mildura Strata Management - Urgent within 3-5 days Owners Corporation Certificate,VICOCURG3TO5DOWNERSCORPV666,VIC,BodyCorp,true,"Order the Urgent within 3-5 days Owners Corporation Certificate from Mildura Strata Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 day timeframe.",ALL,Mildura Strata Management,1e0373f0-cd0e-44ac-974f-3b4fcec96b0f,,,normal_gst_10,,Manual,active,,
Ace Body Corporate Management - Carlton - Urgent within 2 days Owners Corporation Certificate,VICOCCARLTONURG2DOWNERSCORPV115,VIC,BodyCorp,true,"Order the Carlton - Urgent within 2 days Owners Corporation Certificate from Ace Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 day timeframe.",ALL,Ace Body Corporate Management,8f671a02-13fe-4e8d-9972-132ebc0ce851,,,normal_gst_10,,Manual,active,,
Bartrop Real Estate - Urgent within 2 days Owners Corporation Certificate,VICOCURG2DOWNERSCORPV232,VIC,BodyCorp,true,"Order the Urgent within 2 days Owners Corporation Certificate from Bartrop Real Estate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 day timeframe.",ALL,Bartrop Real Estate,38ac4e50-5e78-4b7a-bd73-42d500d10859,,,normal_gst_10,,Manual,active,,
Carrillo Gantner - Owners Corporation Certificate,VICOCOWNERSCORPV679,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Carrillo Gantner for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Carrillo Gantner,c626cee6-1aa1-4e61-b44e-c6731bd7e925,,,normal_gst_10,,Manual,active,,
Gracevale Owners Corporation - Owners Corporation Certificate,VICOCOWNERSCORPV680,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Gracevale Owners Corporation for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Gracevale Owners Corporation,8f6cb4d8-8ea2-4a4b-a573-649744fbe5d1,,,normal_gst_10,,Manual,active,,
Owners Corporation Commercial - Owners Corporation Certificate,VICOCOWNERSCORPV681,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation Commercial for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation Commercial,b9f030dc-822a-4a3f-b6ea-eecaa1fca7f6,,,normal_gst_10,,Manual,active,,
NAI Harcourts - Owners Corporation Certificate,VICOCOWNERSCORPV682,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from NAI Harcourts for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,NAI Harcourts,449c2efd-69fc-4d76-8fb8-79af1cecebc1,,,normal_gst_10,,Manual,active,,
Integra Property Services - Urgent within 3-5 days - Owners Corporation Certificate,VICOCURG3TO5DOWNERSCORPV551,VIC,BodyCorp,true,"Order the Urgent within 3-5 days - Owners Corporation Certificate from Integra Property Services for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 day timeframe.",ALL,Integra Property Services,81b2be69-e721-40e0-9693-f2bdece26360,,,normal_gst_10,,Manual,active,,
Integra Property Services - Urgent within 2 days - Owners Corporation Certificate,VICOCURG2DOWNERSCORPV551,VIC,BodyCorp,true,"Order the Urgent within 2 days - Owners Corporation Certificate from Integra Property Services for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 day timeframe.",ALL,Integra Property Services,81b2be69-e721-40e0-9693-f2bdece26360,,,normal_gst_10,,Manual,active,,
Body Corporate Specialists - Owners Corporation Certificate,VICOCOWNERSCORPV683,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Body Corporate Specialists for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Body Corporate Specialists,802cbf49-8a59-4731-90a9-8f6eed447d62,,,normal_gst_10,,Manual,active,,
BMVet - Owners Corporation Certificate,VICOCOWNERSCORPV684,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from BMVet for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,BMVet,bc05de9a-9c6c-488c-a1f7-c964b79a768c,,,normal_gst_10,,Manual,active,,
Maranoa Close Management Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV685,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Maranoa Close Management Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Maranoa Close Management Pty Ltd,50111116-9058-439d-9002-409f849910d6,,,normal_gst_10,,Manual,active,,
Giffin Strata & Property Services - Owners Corporation Certificate,VICOCOWNERSCORPV686,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Giffin Strata & Property Services for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Giffin Strata & Property Services,16ec9b3c-60ca-4b70-8504-248328906939,,,normal_gst_10,,Manual,active,,
Owners Corporation (Australia) Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV687,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation (Australia) Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation (Australia) Pty Ltd,a3e95c26-26c8-4edd-bba5-b796601f1c54,,,normal_gst_10,,Manual,active,,
Bell Rock Strata Managers - Owners Corporation Certificate,VICOCOWNERSCORPV688,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Bell Rock Strata Managers for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Bell Rock Strata Managers,508f9810-03a1-4f82-83ab-63ee3539ac3a,,,normal_gst_10,,Manual,active,,
West Wimmera Shire Council - Stormwater Legal Point of Discharge,VICLGASTORMWATERLPODV83,VIC,LGA,true,"Order the Stormwater Legal Point of Discharge from West Wimmera Shire Council for a property in West Wimmera Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",West Wimmera Shire,West Wimmera Shire Council,c027daa3-8b32-44ca-b979-2aafddb1894a,,,normal_gst_10,,Manual,active,,
Knox City Council - Stormwater Legal Point of Discharge,VICLGASTORMWATERLPODV103,VIC,LGA,true,"Order the Stormwater Legal Point of Discharge from Knox City Council for a property in Knox City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Knox City,Knox City Council,b26ab171-5094-4695-87f2-69f4fc7fb944,,,normal_gst_10,,Manual,active,,
Golden Plains Shire Council - Stormwater Legal Point of Discharge,VICLGASTORMWATERLPODV32,VIC,LGA,true,"Order the Stormwater Legal Point of Discharge from Golden Plains Shire Council for a property in Golden Plains Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Golden Plains Shire,Golden Plains Shire Council,f7fb3158-8f33-4e89-912d-9853de926eaa,,,normal_gst_10,,Manual,active,,
East Gippsland Shire Council - Building Regulations 51 (1) Certificate,VICLGABR511V24,VIC,LGA,true,"Order the Building Regulations 51 (1) Certificate from East Gippsland Shire Council for a property in East Gippsland Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",East Gippsland Shire,East Gippsland Shire Council,1aafa3ec-9b67-45f5-82ef-0770c9445c78,,,normal_gst_10,,Manual,active,,
South Gippsland Shire Council - Building Regulations 51 (1) Certificate,VICLGABR511V68,VIC,LGA,true,"Order the Building Regulations 51 (1) Certificate from South Gippsland Shire Council for a property in South Gippsland Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",South Gippsland Shire,South Gippsland Shire Council,8665bdc0-ccae-42fe-b543-9d03d8f5d9fc,,,normal_gst_10,,Manual,active,,
The Moonah Estate Body Corporate - Owners Corporation Certificate,VICOCOWNERSCORPV689,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from The Moonah Estate Body Corporate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,The Moonah Estate Body Corporate,457f0091-16ae-4717-a5f4-809744560ffb,,,normal_gst_10,,Manual,active,,
Sunshine Owners Corporation Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV690,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Sunshine Owners Corporation Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Sunshine Owners Corporation Pty Ltd,7b4b19c3-b5fd-45b1-b69d-05fc072e510a,,,normal_gst_10,,Manual,active,,
Grollo Real Estate Management Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV691,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Grollo Real Estate Management Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Grollo Real Estate Management Pty Ltd,6311c420-26d1-449a-aa71-e86ec6e23db0,,,normal_gst_10,,Manual,active,,
All Coast Property - Owners Corporation Certificate,VICOCOWNERSCORPV692,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from All Coast Property for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,All Coast Property,1a54aa6e-c7f8-4b1b-8eb5-b0101f45be67,,,normal_gst_10,,Manual,active,,
T.C.P. Management - Owners Corporation Certificate,VICOCOWNERSCORPV693,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from T.C.P. Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,T.C.P. Management,6aa13f15-0a11-41cf-b54c-c273523881fa,,,normal_gst_10,,Manual,active,,
Grocon Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV694,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Grocon Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Grocon Pty Ltd,1327b9ce-116a-40e0-beef-17e1968da1f9,,,normal_gst_10,,Manual,active,,
PROPIS - Property Investment Services Pty Ltd - Urgent within 2 days Owners Corporation Certificate,VICOCPROPINVESTMENTSERVICESPTYLTDURG2V149,VIC,BodyCorp,true,"Order the Property Investment Services Pty Ltd - Urgent within 2 days Owners Corporation Certificate from PROPIS for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 day timeframe.",ALL,PROPIS,45545e06-6675-4355-b5e2-632385ffac3c,,,normal_gst_10,,Manual,active,,
PROPIS - Property Investment Services Pty Ltd - Urgent 3-5 days - Owners Corporation Certificate,VICOCPROPINVESTMENTSERVICESPTYLTDURG3V149,VIC,BodyCorp,true,"Order the Property Investment Services Pty Ltd - Urgent 3-5 days - Owners Corporation Certificate from PROPIS for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 day timeframe.",ALL,PROPIS,45545e06-6675-4355-b5e2-632385ffac3c,,,normal_gst_10,,Manual,active,,
Mount Martha Valley Estate - Owners Corporation Certificate,VICOCOWNERSCORPV695,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Mount Martha Valley Estate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Mount Martha Valley Estate,d98c2092-71b4-45d0-9e4f-e1f291f83509,,,normal_gst_10,,Manual,active,,
Moylan Group - Owners Corporation Certificate,VICOCOWNERSCORPV696,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Moylan Group for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Moylan Group,6376682b-6115-4068-94a2-443f69749950,,,normal_gst_10,,Manual,active,,
Teka & Carson Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV697,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Teka & Carson Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Teka & Carson Pty Ltd,32469253-485a-4d2c-becd-cb36b082274f,,,normal_gst_10,,Manual,active,,
Rutherford Real Estate - Owners Corporation Certificate,VICOCOWNERSCORPV698,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Rutherford Real Estate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Rutherford Real Estate,c9af0293-9f6b-42a5-bb53-23a0a5f02089,,,normal_gst_10,,Manual,active,,
Alliance Owners Corporation Management - Williamstown - Owners Corporation Certificate,VICOCWILLIAMSTOWNOWNERSCORPV586,VIC,BodyCorp,true,"Order the Williamstown - Owners Corporation Certificate from Alliance Owners Corporation Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Alliance Owners Corporation Management,1fa57627-e344-42d8-ac40-48e03ef50f1d,,,normal_gst_10,,Manual,active,,
Falk & Co - Owners Corporation Certificate,VICOCOWNERSCORPV699,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Falk & Co for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Falk & Co,3ca0865c-13d2-440a-b8aa-bc278e5b805c,,,normal_gst_10,,Manual,active,,
OC Management Solutions - Owners Corporation Certificate,VICOCOWNERSCORPV700,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from OC Management Solutions for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,OC Management Solutions,00de0023-1536-4970-9c3f-5eccd98e87bc,,,normal_gst_10,,Manual,active,,
OCV Management - Mornington - Owners Corporation Certificate,VICOCMORNINGTONOWNERSCORPV408,VIC,BodyCorp,true,"Order the Mornington - Owners Corporation Certificate from OCV Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,OCV Management,53427ae5-9f95-46d7-8acf-4df377fd68fd,,,normal_gst_10,,Manual,active,,
Lettieri Management Services Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV701,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Lettieri Management Services Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Lettieri Management Services Pty Ltd,1146b782-4c2b-42fd-8d8b-828fbd761fee,,,normal_gst_10,,Manual,active,,
St Anthony's Body Corporate - Owners Corporation Certificate,VICOCOWNERSCORPV702,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from St Anthony's Body Corporate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,St Anthony's Body Corporate,a42a9963-9109-40fd-87d4-52b061d24a8e,,,normal_gst_10,,Manual,active,,
Elite Owners Management - Owners Corporation Certificate,VICOCOWNERSCORPV703,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Elite Owners Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Elite Owners Management,eaa6b07a-f831-4873-bc35-2205fc5ff5aa,,,normal_gst_10,,Manual,active,,
Independent Management Group - Owners Corporation Certificate,VICOCOWNERSCORPV704,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Independent Management Group for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Independent Management Group,aac43187-8518-4039-87ae-451f4853ddd9,,,normal_gst_10,,Manual,active,,
Independent Management Group - Pinewood - Owners Corporation Certificate,VICOCPINEWOODOWNERSCORPV704,VIC,BodyCorp,true,"Order the Pinewood - Owners Corporation Certificate from Independent Management Group for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Independent Management Group,aac43187-8518-4039-87ae-451f4853ddd9,,,normal_gst_10,,Manual,active,,
Murray View Estate Owners Corporation - Owners Corporation Certificate,VICOCOWNERSCORPV705,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Murray View Estate Owners Corporation for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Murray View Estate Owners Corporation,3b4404e5-705e-4950-88f8-2a29b3280354,,,normal_gst_10,,Manual,active,,
Shepparton Real Estate - Owners Corporation Certificate,VICOCOWNERSCORPV706,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Shepparton Real Estate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Shepparton Real Estate,b6b96fbd-9fa8-4143-9baa-3021f35f98c6,,,normal_gst_10,,Manual,active,,
Hampton Real Estate Services - Owners Corporation Certificate,VICOCOWNERSCORPV707,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Hampton Real Estate Services for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Hampton Real Estate Services,a6646b75-fbb9-4585-817a-059001e1c1dd,,,normal_gst_10,,Manual,active,,
Colonial First State Global Asset Management - Owners Corporation Certificate,VICOCOWNERSCORPV708,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Colonial First State Global Asset Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Colonial First State Global Asset Management,0b6d74be-c95c-4056-a085-6ca326b99ada,,,normal_gst_10,,Manual,active,,
Stockdale and Leggo - Ballarat - Owners Corporation Certificate,VICOCBALLARATOWNERSCORPV709,VIC,BodyCorp,true,"Order the Ballarat - Owners Corporation Certificate from Stockdale and Leggo for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Stockdale and Leggo,84c86bd8-5461-42b8-b328-9a6ed8f5dec5,,,normal_gst_10,,Manual,active,,
Greenwood Village Mews - Owners Corporation Certificate,VICOCOWNERSCORPV710,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Greenwood Village Mews for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Greenwood Village Mews,5ff1ff7e-e18b-49bc-8f4f-ecf416f6a88f,,,normal_gst_10,,Manual,active,,
Mornington Peninsula Body Corporate Management - Owners Corporation Certificate,VICOCOWNERSCORPV711,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Mornington Peninsula Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Mornington Peninsula Body Corporate Management,0514be37-e5c7-4900-a6fd-d848118dba13,,,normal_gst_10,,Manual,active,,
Sayers Partners - Owners Corporation Certificate,VICOCOWNERSCORPV712,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Sayers Partners for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Sayers Partners,c2667410-38da-4fa2-84e9-42a41cc40d1f,,,normal_gst_10,,Manual,active,,
Melbourne Body Corporate Management - Greensborough - Owners Corporation Certificate,VICOCGREENSBOROUGHOWNERSCORPV122,VIC,BodyCorp,true,"Order the Greensborough - Owners Corporation Certificate from Melbourne Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Melbourne Body Corporate Management,1787701f-b100-47f9-8f1f-b0591b26690b,,,normal_gst_10,,Manual,active,,
Wilson Partners Kilmore - Owners Corporation Certificate,VICOCOWNERSCORPV713,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Wilson Partners Kilmore for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Wilson Partners Kilmore,30ee8bbd-e6cf-4e45-8b9e-c539c3f8f280,,,normal_gst_10,,Manual,active,,
Melbourne Body Corporate Management - Bayswater - Owners Corporation Certificate,VICOCBAYSWATEROWNERSCORPV122,VIC,BodyCorp,true,"Order the Bayswater - Owners Corporation Certificate from Melbourne Body Corporate Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Melbourne Body Corporate Management,1787701f-b100-47f9-8f1f-b0591b26690b,,,normal_gst_10,,Manual,active,,
Rylands of Hawthorn (order through Ace Body Corp Camberwell)  - Owners Corporation Certificate,VICOCOWNERSCORPV714,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Rylands of Hawthorn (order through Ace Body Corp Camberwell) for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Rylands of Hawthorn (order through Ace Body Corp Camberwell),49d2e349-4f02-4ea8-a9f7-3125312391f6,,,normal_gst_10,,Manual,active,,
Michael Devola & Associates - Owners Corporation Certificate,VICOCOWNERSCORPV715,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Michael Devola & Associates for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Michael Devola & Associates,494bb636-125e-4960-b512-93196db8efac,,,normal_gst_10,,Manual,active,,
Amity OC Management Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV716,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Amity OC Management Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Amity OC Management Pty Ltd,0ad4479b-12fb-4988-bc91-e1623a55bd4b,,,normal_gst_10,,Manual,active,,
Oaks Hotels & Resorts Vic Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV717,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Oaks Hotels & Resorts Vic Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Oaks Hotels & Resorts Vic Pty Ltd,4c1f5c0c-90bc-4a2e-be4b-e937feb101c6,,,normal_gst_10,,Manual,active,,
Devlin & Co - Owners Corporation Certificate,VICOCOWNERSCORPV718,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Devlin & Co for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Devlin & Co,ae580089-993e-42be-ba26-3bb6ce09e7df,,,normal_gst_10,,Manual,active,,
